Product Name,Brand,Category,MRP,Discounted Price,Rating,Number of Reviews,Product URL
Solid Polo Collar T-shirt,Roadster,Men's T-Shirts,999.0,449.0,4.2,17700,https://www.myntra.com/tshirts/roadster/roadster-men-maroon-solid-polo-collar-t-shirt/3009070/buy
Regular Fit Round-Neck T-Shirt,H&M,Men's T-Shirts,,,4.2,190,https://www.myntra.com/tshirts/h%26m/hm-regular-fit-round-neck-t-shirt/35737936/buy
Men Printed Cotton T-shirt,United Colors of Benetton,Men's T-Shirts,,,,0,https://www.myntra.com/tshirts/united+colors+of+benetton/united-colors-of-benetton-men-regular-fit-pure-cotton-t-shirt/34379032/buy
Oversized Cotton T-shirt,TOGS & TERRE,Men's T-Shirts,1499.0,331.0,3.9,150,https://www.myntra.com/tshirts/togs+%26+terre/togs--terre-graphic-printed-oversized-organic-cotton-t-shirt/34955438/buy
Men Polo Collar T-shirt,The Indian Garage Co,Men's T-Shirts,1549.0,496.0,4.4,2400,https://www.myntra.com/tshirts/the+indian+garage+co/the-indian-garage-co-men-solid-polo-collar-t-shirt/23053394/buy
Polo Collar T-shirt,Louis Philippe,Men's T-Shirts,2299.0,1471.0,4.6,82,https://www.myntra.com/tshirts/louis+philippe/louis-philippe-self-design-polo-collar-t-shirt/33085416/buy
Oversized Printed T-shirt,TOGS & TERRE,Men's T-Shirts,1499.0,331.0,3.9,63,https://www.myntra.com/tshirts/togs+%26+terre/togs--terre-graphic-printed-oversized-organic-cotton-t-shirt/34955604/buy
Solid Lounge T-shirt,Levis,Men's T-Shirts,649.0,421.0,4.3,1800,https://www.myntra.com/lounge-tshirts/levis/levis-men-soft-pure-cotton-round-neck-half-sleeve-tshirt/12027422/buy
Anti Stain Anti Odor T-Shirt,TURMS,Men's T-Shirts,2199.0,1799.0,4.4,26,https://www.myntra.com/tshirts/turms/turms-men-solid-polo-collar-half-sleeves-stain-and-water-repellent-cotton-tshirt/30813369/buy
Regular Fit Round-Neck T-shirt,H&M,Men's T-Shirts,,,4.0,216,https://www.myntra.com/tshirts/h%26m/hm-regular-fit-round-neck-t-shirt/34220990/buy
Men Solid Cotton Polo T-shirt,Campus Sutra,Men's T-Shirts,1699.0,696.0,3.9,597,https://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-solid-polo-collar-cotton-t-shirt/32193183/buy
SS25 Pure Cotton T-Shirt,Powerlook,Men's T-Shirts,2199.0,1297.0,4.3,15,https://www.myntra.com/tshirts/powerlook/powerlook-ss25-colourblocked-polo-collar-pure-cotton-t-shirt/34219607/buy
Print Oversized Cotton T-shirt,BULLMER,Men's T-Shirts,1499.0,399.0,3.9,10400,https://www.myntra.com/tshirts/bullmer/bullmer-tribal-printed-oversized-cotton-t-shirt/27226100/buy
Lounge T-Shirt,U.S. Polo Assn.,Men's T-Shirts,699.0,608.0,4.2,593,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-olive-green-solid-lounge-t-shirt/2465168/buy
Men Polo Collar T-shirt,GANT,Men's T-Shirts,5999.0,2999.0,4.3,8,https://www.myntra.com/tshirts/gant/gant-men-solid-polo-collar-polo-t-shirt/33418448/buy
Men T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,899.0,440.0,4.2,1100,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-white-t-shirt/20104340/buy
Men Printed T-shirt,NOBERO,Men's T-Shirts,1799.0,499.0,4.4,1400,https://www.myntra.com/tshirts/nobero/nobero-men-printed-oversized-fit-t-shirt/28137932/buy
SolidPolo Collar T-shirt,GANT,Men's T-Shirts,5999.0,2999.0,3.9,11,https://www.myntra.com/tshirts/gant/gant-men-white-solid-polo-collar-regular-t-shirt/33418383/buy
Rapid-Dry Running T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,899.0,368.0,4.6,63,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-printed-rapid-dry-running-t-shirt/30390286/buy
Outline Graphic Slim Fit Tee,Puma,Men's T-Shirts,1599.0,719.0,4.4,691,https://www.myntra.com/tshirts/puma/puma-outline-graphic-men-slim-fit-tee/31636877/buy
Pure Cotton Slim Fit T-shirt,Louis Philippe Jeans,Men's T-Shirts,1999.0,1359.0,4.5,441,https://www.myntra.com/tshirts/louis+philippe+jeans/louis-philippe-jeans-pure-cotton-slim-fit-t-shirt/23083562/buy
Men Polo Collar Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1004.0,4.4,329,https://www.myntra.com/tshirts/u.s.+polo+assn./u-s-polo-assn-men-black-polo-collar-pure-cotton-slim-fit-t-shirt/19182712/buy
Men Cotton Pure Cotton T-shirt Regular Fit,H&M,Men's T-Shirts,,,4.3,9000,https://www.myntra.com/tshirts/h%26m/hm-men-black-solid-cotton-pure-cotton-t-shirt-regular-fit/11468732/buy
Slim Fit Cotton T-shirt,Crocodile,Men's T-Shirts,,,4.0,48,https://www.myntra.com/tshirts/crocodile/crocodile-polo-collar-slim-fit-cotton-t-shirt/23398178/buy
Open Knit Polo Collar T-shirt,MANGO MAN,Men's T-Shirts,3990.0,2394.0,4.7,12,https://www.myntra.com/tshirts/mango+man/mango-man-open-knit-polo-collar-t-shirt/33185476/buy
Printed Sports T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,1299.0,688.0,3.7,108,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-relaxed-fit-printed-rapid-dry-training-or-gym-sports-t-shirt/32045259/buy
Cotton Polo Collar T-shirt,Roadster,Men's T-Shirts,1499.0,689.0,4.0,164,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-striped-polo-collar-pure-cotton-t-shirt/26043520/buy
Men Printed Cotton T-shirt,WROGN,Men's T-Shirts,1399.0,979.0,4.5,12,https://www.myntra.com/tshirts/wrogn/wrogn-men-graphic-printed-round-neck-cotton-oversized-t-shirt/32700205/buy
Antimicrobial Slim Fit T-shirt,Technosport,Men's T-Shirts,,,4.5,2500,https://www.myntra.com/tshirts/technosport/technosport-antimicrobial-slim-fit-training-or-gym-t-shirt/22187988/buy
Pack of 3 Cotton T-shirts,max,Men's T-Shirts,749.0,636.0,4.4,248,https://www.myntra.com/lounge-tshirts/max/max-pack-of-3-men-solid-t-shirt-/30250884/buy
Polo Collar Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1699.0,1223.0,,0,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-polo-collar-pure-cotton-slim-fit-t-shirt/34032904/buy
Raglan Sleeves Running T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,699.0,300.0,3.9,21,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-long-raglan-sleeves-perforation-detail-running-t-shirt/33081761/buy
V-Neck Cotton Lounge T-shirts,U.S. Polo Assn.,Men's T-Shirts,699.0,629.0,4.4,659,https://www.myntra.com/lounge-tshirts/u.s.+polo+assn./us-polo-assn-embroidered-logo-v-neck-cotton-lounge-t-shirts/22492580/buy
Polo Collar Slim Fit T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1079.0,4.4,5,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-polo-collar-pure-cotton-slim-fit-t-shirt/34032867/buy
Men Printed Oversized T-shirt,Bewakoof,Men's T-Shirts,1199.0,599.0,4.4,1100,https://www.myntra.com/tshirts/bewakoof/bewakoof-men-black-printed-oversized-t-shirt/19042212/buy
Printed Training T-shirt,HRX by Hrithik Roshan,Men's T-Shirts,699.0,300.0,4.5,71,https://www.myntra.com/tshirts/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-brand-logo-printed-training-t-shirt/28619216/buy
Pure Cotton Slim Polo T-shirt,U.S. Polo Assn.,Men's T-Shirts,1499.0,1004.0,4.7,24,https://www.myntra.com/tshirts/u.s.+polo+assn./us-polo-assn-pure-cotton-slim-fit-polo-collar-t-shirt/34032804/buy
Pack of 3 Cotton T-shirts,max,Men's T-Shirts,749.0,636.0,4.4,241,https://www.myntra.com/lounge-tshirts/max/max-men-pack-of-3-solid-t-shirt-/30250880/buy
Regular Fit Round-Neck T-shirt,H&M,Men's T-Shirts,,,4.1,95,https://www.myntra.com/tshirts/h%26m/hm-regular-fit-round-neck-t-shirt/35714622/buy
Slim Fit Pure Cotton T-shirt,U.S. Polo Assn. Denim Co.,Men's T-Shirts,1299.0,870.0,4.6,7,https://www.myntra.com/tshirts/u.s.+polo+assn.+denim+co./us-polo-assn-denim-co-slim-fit-brand-logo-printed-pure-cotton-t-shirt/34032298/buy
Pack of 2 Solid Cotton Pure Cotton T-shirt,Roadster,Men's T-Shirts,1299.0,519.0,4.2,924,https://www.myntra.com/tshirts/roadster/the-roadster-lifestyle-co-men-pack-of-2-black--olive-brown-solid-v-neck-cotton-pure-cotton-t-shirt/13335086/buy
